Line_Number,Existing_Band_Gap_eV,Existing_Predicted_Formation_Energy_eV_per_atom,New_Band_Gap_eV,New_Predicted_Formation_Energy_eV_per_atom
117,7.2814,-1.063986136,7.2156,-1.288076436
118,4.4939,-0.284343492,4.4623,-0.284196962
119,0,-0.264162511,0,-0.153432129
120,0,-1.112259982,0,-1.067608692
121,0,-2.75854971,0.365,-2.758743156
122,3.6013,0.163628051,3.8871,0.162884237
123,0,3.559278322,0,2.331559575
124,0,-1.178245385,0.8904,-1.175115351
125,0,-0.080000384,0,-0.080406462
126,0,-0.59221294,0,-0.540968193
127,4.274,-1.407274898,4.35,-1.433202603
128,3.2547,0.265742004,3.9757,1.132111278
129,0,-0.139919267,0,-0.141767941
130,0.6853,0.701819815,0.8522,0.701966582
131,0.1171,-0.117151765,0,-0.113067681
132,0,-0.412298155,0,-0.412548063
133,0,-0.656346273,0,-0.656521963
134,2.3285,-0.306250859,2.3055,-0.306604383
135,0,-1.406102087,0,-1.218233745
136,0,-0.17615654,0,-0.176194576
137,1.3619,-0.776397882,2.5734,-0.815348169
138,0.2781,-0.596662488,0,0.028425427
139,4.3662,-1.610906282,4.3667,-1.610315361
140,4.9737,-0.97925666,4.9735,-0.979306791
141,2.9234,-1.0465175,2.9234,-1.046002349
142,0.9705,-1.852383194,0.7042,-1.49214102
143,0.8351,-0.373068869,0.9824,-0.417637617
144,5.7747,-1.140737818,5.9267,-1.358662149
145,0,-1.513575089,0,-1.512310438
146,0,-1.411233568,0,-1.412978993
147,0,-0.013394749,0,-0.013311939
148,2.2861,-2.961319315,2.2861,-2.951141118
149,0,-0.296383167,0,-0.196266076
150,2.5675,-2.023247367,2.5824,-2.023519224
151,2.8024,-1.465524606,2.3488,-2.002212811
152,5.3193,-1.29767696,5.2831,-1.375727719
153,0,-2.477501867,0,-2.477723129
154,0.1222,-0.673695968,0.1228,0.406993341
155,3.7018,-1.376814312,4.477097236,-1.372585665
156,0,-1.521874891,0,-1.244566897
157,1.7919,0.573437992,1.7918,0.591805128
158,0,-1.120204727,0,-1.200204327
159,0,-0.700968726,0,-0.700968726
160,0,0.560030646,0,0.6592
161,4.6496,-1.159751009,4.6496,-1.05482279
162,0,-1.299005835,0,-1.342100615
163,3.2495,-1.411691571,3.2495,-1.411286999
164,0,2.385053062,0,3.005193628
165,1.8032,-1.306130554,1.7863,-1.358437244
166,0,-0.069032482,0,-0.069306
167,6.51,-0.333984484,6.64,-0.333165487
168,3.8874,-0.920051719,3.8874,-0.524979828
169,4.083,-0.444230137,4.026,-0.47382998
170,0,-1.204222389,0,-1.204222389
171,4.8878,-0.169381999,4.8873,-0.169581435
172,1.6923,-0.810614385,1.5947,-0.730193463
173,0,0.24301856,0,1.034991079
174,0,-1.027275664,0,-1.027274744
175,0,-0.967673511,0,-0.87329071
176,0.1289,-0.054033927,0.1289,-0.060766946
177,2.7387,-0.705241146,2.738,-0.70519723
178,4.5474,-1.045814337,4.5471,-1.002751538
179,0,-0.405580711,0,-0.649160839
180,0,-0.223371492,0,-0.223383219
181,4.8121,-0.338281119,4.8128,-0.344533229
182,0,-0.944976231,0,-0.960275351
183,5.0921,-1.312061736,5.0924,-1.312061733
184,0.09,-0.83742149,0.9223,-0.936358954
185,3.8548,-0.962789692,2.9786,-0.962437699
186,0,0.179878476,0,0.3043181
187,3.8973,-0.357011766,3.4405,-0.4583
188,0,-0.338587328,0,-0.338602237
189,3.1254,-0.362721429,3.0454,-0.283061263
190,0,-1.143256655,0,-1.04586561
191,4.5529,-0.858128675,4.4232,-0.838539718
192,2.4152,-1.78902104,2.4153,-2.477017002
193,0,-1.641988646,0,-2.229132692
194,0,-0.114607758,0,-0.382177514
195,3.5977,-0.283427462,3.5977,-0.525573349
196,1.0871,-1.833539316,1.0879,-1.920149954
197,4.9681,-0.41849279,4.9686,-0.418967284
198,1.6791,-1.760218771,1.5264,-1.6458
199,0,-0.249859816,0,-1.09467635
200,2.582,-1.124266903,2.4843,-1.129148775
201,0,-1.570997601,0,-1.63864027
202,0,-1.454285262,0,-1.454285621
203,0,-0.298578175,0,-0.338013963
204,0.16,0.260878092,0.96,0.397218269
205,2.6386,-2.936201643,2.4175,-2.947216129
206,0,-1.226940167,0,-1.226641316
207,0,0.012216115,0,0.01265483
208,0,-1.410729793,0,-1.604203314
209,2.2987,-0.357123243,2.5677,-0.354350183
210,3.4007,-0.809409998,3.4007,-1.246648585
211,3.0113,-1.935941752,4.1705,-1.863491654
212,0,-0.202699275,0,-0.201100446
213,5.2197,0.069584321,5.2195,0.213905806
214,2.2159,-1.764852898,2.0458,-1.832646252
215,0,-0.435483446,0,-0.435957446
216,3.448,-1.153288949,3.448,-1.187946639
217,0,-1.763479215,0.03400168,-1.763057815
218,0.0783,-0.012448436,0.2939,-0.01219742
219,3.323,-2.482855808,3.162,-2.422512608
